year,state_code,state,law_change,midterm,vep_total,vep_highest,vep_highest100,vap_highest,median_age,race_percent_minority,race_percent_minority100,gender_percent_females ,gender_percent_females100, num_females , tot_pop , num_whites , num_blacks , num_minority 
2016,1,Alabama,,,0.59,0.59,59,0.56,37.9,0.314733282,31.4733282,0.514578211,51.4578211,"2,459,548.00","4,779,736.00","3,275,394.00","1,251,311.00","1,504,342.00"
2014,1,Alabama,,,0.33,0.33,33,0.32,37.9,0.314733282,31.4733282,0.514578211,51.4578211,"2,459,548.00","4,779,736.00","3,275,394.00","1,251,311.00","1,504,342.00"
2012,1,Alabama,,,,0.59,59,0.56,37.9,0.314733282,31.4733282,0.514578211,51.4578211,"2,459,548.00","4,779,736.00","3,275,394.00","1,251,311.00","1,504,342.00"
2010,1,Alabama,,,0.43,0.43,43,0.41,37.9,0.314733282,31.4733282,0.514578211,51.4578211,"2,459,548.00","4,779,736.00","3,275,394.00","1,251,311.00","1,504,342.00"
2008,1,Alabama,,,0.61,0.61,61,0.58,35.8,0.288793146,28.8793146,0.517324998,51.7324998,"2,300,596.00","4,447,100.00","3,162,808.00","1,155,930.00","1,284,292.00"
2006,1,Alabama,,,,0.38,38,0.36,35.8,0.288793146,28.8793146,0.517324998,51.7324998,"2,300,596.00","4,447,100.00","3,162,808.00","1,155,930.00","1,284,292.00"
2004,1,Alabama,,,0.57,0.57,57,0.55,35.8,0.288793146,28.8793146,0.517324998,51.7324998,"2,300,596.00","4,447,100.00","3,162,808.00","1,155,930.00","1,284,292.00"
2002,1,Alabama,,,,0.42,42,0.4,35.8,0.288793146,28.8793146,0.517324998,51.7324998,"2,300,596.00","4,447,100.00","3,162,808.00","1,155,930.00","1,284,292.00"
2000,1,Alabama,,,,0.52,52,0.5,35.8,0.288793146,28.8793146,0.517324998,51.7324998,"2,300,596.00","4,447,100.00","3,162,808.00","1,155,930.00","1,284,292.00"
1998,1,Alabama,,,,0.41,41,0.4,33,0.263523592,26.3523592,0.520821603,52.0821603,"2,104,425.00","4,040,587.00","2,975,797.00","1,020,705.00","1,064,790.00"
1996,1,Alabama,,,,0.49,49,0.48,33,0.263523592,26.3523592,0.520821603,52.0821603,"2,104,425.00","4,040,587.00","2,975,797.00","1,020,705.00","1,064,790.00"
1994,1,Alabama,,,,0.39,39,0.38,33,0.263523592,26.3523592,0.520821603,52.0821603,"2,104,425.00","4,040,587.00","2,975,797.00","1,020,705.00","1,064,790.00"
1992,1,Alabama,,,,0.56,56,0.55,33,0.263523592,26.3523592,0.520821603,52.0821603,"2,104,425.00","4,040,587.00","2,975,797.00","1,020,705.00","1,064,790.00"
1990,1,Alabama,,,,0.41,41,0.4,33,0.263523592,26.3523592,0.520821603,52.0821603,"2,104,425.00","4,040,587.00","2,975,797.00","1,020,705.00","1,064,790.00"
1988,1,Alabama,,,,0.48,48,0.47,29.2,0.262274364,26.2274364,0.519366248,51.9366248,"2,022,354.00","3,893,888.00","2,872,621.00","996,335.00","1,021,267.00"
1986,1,Alabama,,,,0.43,43,0.43,29.2,0.262274364,26.2274364,0.519366248,51.9366248,"2,022,354.00","3,893,888.00","2,872,621.00","996,335.00","1,021,267.00"
1984,1,Alabama,,,,0.51,51,0.5,29.2,0.262274364,26.2274364,0.519366248,51.9366248,"2,022,354.00","3,893,888.00","2,872,621.00","996,335.00","1,021,267.00"
1982,1,Alabama,,,,0.41,41,0.4,29.2,0.262274364,26.2274364,0.519366248,51.9366248,"2,022,354.00","3,893,888.00","2,872,621.00","996,335.00","1,021,267.00"
1980,1,Alabama,,,,0.49,49,0.49,29.2,0.262274364,26.2274364,0.519366248,51.9366248,"2,022,354.00","3,893,888.00","2,872,621.00","996,335.00","1,021,267.00"
2016,2,Alaska,,,0.62,0.61,61,0.57,33.8,0.333107081,33.3107081,0.479639443,47.9639443,"340,603.00","710,123.00","473,576.00","23,263.00","236,547.00"
2014,2,Alaska,,,0.55,0.54,54,0.51,33.8,0.333107081,33.3107081,0.479639443,47.9639443,"340,603.00","710,123.00","473,576.00","23,263.00","236,547.00"
2012,2,Alaska,,,0.59,0.59,59,0.55,33.8,0.333107081,33.3107081,0.479639443,47.9639443,"340,603.00","710,123.00","473,576.00","23,263.00","236,547.00"
2010,2,Alaska,,,0.53,0.52,52,0.49,33.8,0.333107081,33.3107081,0.479639443,47.9639443,"340,603.00","710,123.00","473,576.00","23,263.00","236,547.00"
2008,2,Alaska,,,0.68,0.68,68,0.64,32.4,0.306888147,30.6888147,0.483018892,48.3018892,"302,820.00","626,932.00","434,534.00","21,787.00","192,398.00"
2006,2,Alaska,,,0.51,0.51,51,0.48,32.4,0.306888147,30.6888147,0.483018892,48.3018892,"302,820.00","626,932.00","434,534.00","21,787.00","192,398.00"
2004,2,Alaska,,,0.7,0.69,69,0.65,32.4,0.306888147,30.6888147,0.483018892,48.3018892,"302,820.00","626,932.00","434,534.00","21,787.00","192,398.00"
2002,2,Alaska,,,0.55,0.54,54,0.51,32.4,0.306888147,30.6888147,0.483018892,48.3018892,"302,820.00","626,932.00","434,534.00","21,787.00","192,398.00"
2000,2,Alaska,,,0.69,0.68,68,0.65,32.4,0.306888147,30.6888147,0.483018892,48.3018892,"302,820.00","626,932.00","434,534.00","21,787.00","192,398.00"
1998,2,Alaska,,,0.56,0.55,55,0.52,29.4,0.244619057,24.4619057,0.526989708,52.6989708,"289,867.00","550,043.00","415,492.00","22,451.00","134,551.00"
1996,2,Alaska,,,0.61,0.6,60,0.57,29.4,0.244619057,24.4619057,0.526989708,52.6989708,"289,867.00","550,043.00","415,492.00","22,451.00","134,551.00"
1994,2,Alaska,,,0.54,0.53,53,0.51,29.4,0.244619057,24.4619057,0.526989708,52.6989708,"289,867.00","550,043.00","415,492.00","22,451.00","134,551.00"
1992,2,Alaska,,,0.67,0.66,66,0.64,29.4,0.244619057,24.4619057,0.526989708,52.6989708,"289,867.00","550,043.00","415,492.00","22,451.00","134,551.00"
1990,2,Alaska,,,0.54,0.53,53,0.51,29.4,0.244619057,24.4619057,0.526989708,52.6989708,"289,867.00","550,043.00","415,492.00","22,451.00","134,551.00"
1988,2,Alaska,,,0.57,0.56,56,0.54,26,0.229246661,22.9246661,0.469850766,46.9850766,"188,810.00","401,851.00","309,728.00","13,643.00","92,123.00"
1986,2,Alaska,,,0.52,0.51,51,0.5,26,0.229246661,22.9246661,0.469850766,46.9850766,"188,810.00","401,851.00","309,728.00","13,643.00","92,123.00"
1984,2,Alaska,,,0.62,0.61,61,0.59,26,0.229246661,22.9246661,0.469850766,46.9850766,"188,810.00","401,851.00","309,728.00","13,643.00","92,123.00"
1982,2,Alaska,,,0.65,0.63,63,0.62,26,0.229246661,22.9246661,0.469850766,46.9850766,"188,810.00","401,851.00","309,728.00","13,643.00","92,123.00"
1980,2,Alaska,,,0.6,0.59,59,0.57,26,0.229246661,22.9246661,0.469850766,46.9850766,"188,810.00","401,851.00","309,728.00","13,643.00","92,123.00"
2016,3,Arizona,,,0.56,0.55,55,0.49,35.9,0.269851598,26.9851598,0.503157923,50.3157923,"3,216,194.00","6,392,017.00","4,667,121.00","259,008.00","1,724,896.00"
2014,3,Arizona,,,0.34,0.33,33,0.3,35.9,0.269851598,26.9851598,0.503157923,50.3157923,"3,216,194.00","6,392,017.00","4,667,121.00","259,008.00","1,724,896.00"
2012,3,Arizona,,,0.53,0.53,53,0.47,35.9,0.269851598,26.9851598,0.503157923,50.3157923,"3,216,194.00","6,392,017.00","4,667,121.00","259,008.00","1,724,896.00"
2010,3,Arizona,,,0.42,0.41,41,0.36,35.9,0.269851598,26.9851598,0.503157923,50.3157923,"3,216,194.00","6,392,017.00","4,667,121.00","259,008.00","1,724,896.00"
2008,3,Arizona,,,0.57,0.57,57,0.49,34.2,0.24500315,24.500315,0.500830112,50.0830112,"2,569,575.00","5,130,632.00","3,873,611.00","158,873.00","1,257,021.00"
2006,3,Arizona,,,0.4,0.39,39,0.33,34.2,0.24500315,24.500315,0.500830112,50.0830112,"2,569,575.00","5,130,632.00","3,873,611.00","158,873.00","1,257,021.00"
2004,3,Arizona,,,0.55,0.54,54,0.47,34.2,0.24500315,24.500315,0.500830112,50.0830112,"2,569,575.00","5,130,632.00","3,873,611.00","158,873.00","1,257,021.00"
2002,3,Arizona,,,0.37,0.36,36,0.31,34.2,0.24500315,24.500315,0.500830112,50.0830112,"2,569,575.00","5,130,632.00","3,873,611.00","158,873.00","1,257,021.00"
2000,3,Arizona,,,0.46,0.46,46,0.4,34.2,0.24500315,24.500315,0.500830112,50.0830112,"2,569,575.00","5,130,632.00","3,873,611.00","158,873.00","1,257,021.00"
1998,3,Arizona,,,0.32,0.32,32,0.28,32.2,0.191541154,19.1541154,0.505981347,50.5981347,"1,854,537.00","3,665,228.00","2,963,186.00","110,524.00","702,042.00"
1996,3,Arizona,,,0.47,0.46,46,0.41,32.2,0.191541154,19.1541154,0.505981347,50.5981347,"1,854,537.00","3,665,228.00","2,963,186.00","110,524.00","702,042.00"
1994,3,Arizona,,,0.4,0.39,39,0.36,32.2,0.191541154,19.1541154,0.505981347,50.5981347,"1,854,537.00","3,665,228.00","2,963,186.00","110,524.00","702,042.00"
1992,3,Arizona,,,0.57,0.56,56,0.51,32.2,0.191541154,19.1541154,0.505981347,50.5981347,"1,854,537.00","3,665,228.00","2,963,186.00","110,524.00","702,042.00"
1990,3,Arizona,,,0.43,0.42,42,0.39,32.2,0.191541154,19.1541154,0.505981347,50.5981347,"1,854,537.00","3,665,228.00","2,963,186.00","110,524.00","702,042.00"
1988,3,Arizona,,,0.49,0.48,48,0.45,29.2,0.175649829,17.5649829,0.507786544,50.7786544,"1,380,273.00","2,718,215.00","2,240,761.00","74,977.00","477,454.00"
1986,3,Arizona,,,0.38,0.37,37,0.35,29.2,0.175649829,17.5649829,0.507786544,50.7786544,"1,380,273.00","2,718,215.00","2,240,761.00","74,977.00","477,454.00"
1984,3,Arizona,,,0.49,0.48,48,0.45,29.2,0.175649829,17.5649829,0.507786544,50.7786544,"1,380,273.00","2,718,215.00","2,240,761.00","74,977.00","477,454.00"
1982,3,Arizona,,,0.37,0.36,36,0.34,29.2,0.175649829,17.5649829,0.507786544,50.7786544,"1,380,273.00","2,718,215.00","2,240,761.00","74,977.00","477,454.00"
1980,3,Arizona,,,0.48,0.46,46,0.44,29.2,0.175649829,17.5649829,0.507786544,50.7786544,"1,380,273.00","2,718,215.00","2,240,761.00","74,977.00","477,454.00"
2016,4,Arkansas,,,0.53,0.53,53,0.49,,,0,,0,,,,,
2014,4,Arkansas,,,0.4,0.4,40,0.38,,,0,,0,,,,,
2012,4,Arkansas,,,0.51,0.51,51,0.48,,,0,,0,,,,,
2010,4,Arkansas,,,0.38,0.38,38,0.35,,,0,,0,,,,,
2008,4,Arkansas,,,0.53,0.53,53,0.5,,,0,,0,,,,,
2006,4,Arkansas,,,0.39,0.39,39,0.36,,,0,,0,,,,,
2004,4,Arkansas,,,0.54,0.54,54,0.51,,,0,,0,,,,,
2002,4,Arkansas,,,0.42,0.41,41,0.4,,,0,,0,,,,,
2000,4,Arkansas,,,,0.48,48,0.46,,,0,,0,,,,,
1998,4,Arkansas,,,,0.38,38,0.36,,,0,,0,,,,,
1996,4,Arkansas,,,,0.48,48,0.47,,,0,,0,,,,,
1994,4,Arkansas,,,,0.4,40,0.39,,,0,,0,,,,,
1992,4,Arkansas,,,,0.54,54,0.53,,,0,,0,,,,,
1990,4,Arkansas,,,,0.41,41,0.4,,,0,,0,,,,,
1988,4,Arkansas,,,,0.49,49,0.48,,,0,,0,,,,,
1986,4,Arkansas,,,,0.41,41,0.41,,,0,,0,,,,,
1984,4,Arkansas,,,,0.53,53,0.52,,,0,,0,,,,,
1982,4,Arkansas,,,,0.48,48,0.48,,,0,,0,,,,,
1980,4,Arkansas,,,,0.52,52,0.52,,,0,,0,,,,,
2016,5,California,,,0.58,0.57,57,0.47,,,0,,0,,,,,
2014,5,California,,,0.31,0.3,30,0.25,,,0,,0,,,,,
2012,5,California,,,0.56,0.55,55,0.45,,,0,,0,,,,,
2010,5,California,,,0.46,0.44,44,0.36,,,0,,0,,,,,
2008,5,California,,,0.62,0.61,61,0.5,,,0,,0,,,,,
2006,5,California,,,0.41,0.4,40,0.32,,,0,,0,,,,,
2004,5,California,,,0.6,0.59,59,0.47,,,0,,0,,,,,
2002,5,California,,,0.37,0.36,36,0.29,,,0,,0,,,,,
2000,5,California,,,0.57,0.56,56,0.44,,,0,,0,,,,,
1998,5,California,,,0.45,0.44,44,0.35,,,0,,0,,,,,
1996,5,California,,,0.55,0.54,54,0.43,,,0,,0,,,,,
1994,5,California,,,0.48,0.47,47,0.38,,,0,,0,,,,,
1992,5,California,,,0.62,0.6,60,0.49,,,0,,0,,,,,
1990,5,California,,,0.44,0.42,42,0.35,,,0,,0,,,,,
1988,5,California,,,0.58,0.56,56,0.47,,,0,,0,,,,,
1986,5,California,,,0.44,0.43,43,0.37,,,0,,0,,,,,
1984,5,California,,,0.59,0.57,57,0.49,,,0,,0,,,,,
1982,5,California,,,0.5,0.49,49,0.43,,,0,,0,,,,,
1980,5,California,,,0.56,0.55,55,0.49,,,0,,0,,,,,
2016,6,Colorado,,,0.72,0.7,70,0.65,,,0,,0,,,,,
2014,6,Colorado,,,0.55,0.54,54,0.49,,,0,,0,,,,,
2012,6,Colorado,,,0.71,0.7,70,0.65,,,0,,0,,,,,
2010,6,Colorado,,,0.52,0.51,51,0.47,,,0,,0,,,,,
2008,6,Colorado,,,0.72,0.71,71,0.65,,,0,,0,,,,,
2006,6,Colorado,,,0.48,0.47,47,0.43,,,0,,0,,,,,
2004,6,Colorado,,,0.67,0.67,67,0.61,,,0,,0,,,,,
2002,6,Colorado,,,0.47,0.46,46,0.42,,,0,,0,,,,,
2000,6,Colorado,,,,0.58,58,0.54,,,0,,0,,,,,
1998,6,Colorado,,,,0.46,46,0.43,,,0,,0,,,,,
1996,6,Colorado,,,,0.55,55,0.51,,,0,,0,,,,,
1994,6,Colorado,,,0.44,0.42,42,0.4,,,0,,0,,,,,
1992,6,Colorado,,,0.64,0.63,63,0.6,,,0,,0,,,,,
1990,6,Colorado,,,0.44,0.43,43,0.42,,,0,,0,,,,,
1988,6,Colorado,,,0.61,0.59,59,0.57,,,0,,0,,,,,
1986,6,Colorado,,,0.48,0.46,46,0.45,,,0,,0,,,,,
1984,6,Colorado,,,0.59,0.57,57,0.56,,,0,,0,,,,,
1982,6,Colorado,,,0.47,0.44,44,0.43,,,0,,0,,,,,
1980,6,Colorado,,,0.59,0.57,57,0.56,,,0,,0,,,,,
2016,7,Connecticut,,,0.65,0.64,64,0.58,,,0,,0,,,,,
2014,7,Connecticut,,,0.43,0.42,42,0.39,,,0,,0,,,,,
2012,7,Connecticut,,,0.61,0.61,61,0.56,,,0,,0,,,,,
2010,7,Connecticut,,,0.46,0.46,46,0.42,,,0,,0,,,,,
2008,7,Connecticut,,,,0.67,67,0.6,,,0,,0,,,,,
2006,7,Connecticut,,,0.48,0.47,47,0.43,,,0,,0,,,,,
2004,7,Connecticut,,,0.66,0.65,65,0.6,,,0,,0,,,,,
2002,7,Connecticut,,,0.45,0.42,42,0.39,,,0,,0,,,,,
2000,7,Connecticut,,,0.63,0.62,62,0.57,,,0,,0,,,,,
1998,7,Connecticut,,,0.44,0.43,43,0.39,,,0,,0,,,,,
1996,7,Connecticut,,,0.6,0.6,60,0.55,,,0,,0,,,,,
1994,7,Connecticut,,,0.5,0.49,49,0.46,,,0,,0,,,,,
1992,7,Connecticut,,,0.7,0.69,69,0.64,,,0,,0,,,,,
1990,7,Connecticut,,,0.49,0.48,48,0.45,,,0,,0,,,,,
1988,7,Connecticut,,,0.61,0.61,61,0.57,,,0,,0,,,,,
1986,7,Connecticut,,,0.44,0.42,42,0.4,,,0,,0,,,,,
1984,7,Connecticut,,,0.65,0.64,64,0.6,,,0,,0,,,,,
1982,7,Connecticut,,,0.49,0.48,48,0.46,,,0,,0,,,,,
1980,7,Connecticut,,,0.65,0.64,64,0.61,,,0,,0,,,,,
2016,8,Delaware,,,0.65,0.64,64,0.59,,,0,,0,,,,,
2014,8,Delaware,,,0.35,0.34,34,0.32,,,0,,0,,,,,
2012,8,Delaware,,,,0.62,62,0.58,,,0,,0,,,,,
2010,8,Delaware,,,0.49,0.48,48,0.44,,,0,,0,,,,,
2008,8,Delaware,,,0.66,0.66,66,0.61,,,0,,0,,,,,
2006,8,Delaware,,,0.43,0.42,42,0.39,,,0,,0,,,,,
2004,8,Delaware,,,0.65,0.64,64,0.59,,,0,,0,,,,,
2002,8,Delaware,,,,0.41,41,0.38,,,0,,0,,,,,
2000,8,Delaware,,,,0.59,59,0.55,,,0,,0,,,,,
1998,8,Delaware,,,,0.33,33,0.31,,,0,,0,,,,,
1996,8,Delaware,,,0.53,0.51,51,0.48,,,0,,0,,,,,
1994,8,Delaware,,,0.39,0.39,39,0.37,,,0,,0,,,,,
1992,8,Delaware,,,0.58,0.58,58,0.55,,,0,,0,,,,,
1990,8,Delaware,,,0.38,0.37,37,0.36,,,0,,0,,,,,
1988,8,Delaware,,,0.54,0.53,53,0.51,,,0,,0,,,,,
1986,8,Delaware,,,0.36,0.35,35,0.34,,,0,,0,,,,,
1984,8,Delaware,,,0.58,0.58,58,0.56,,,0,,0,,,,,
1982,8,Delaware,,,0.46,0.44,44,0.43,,,0,,0,,,,,
1980,8,Delaware,,,0.57,0.56,56,0.55,,,0,,0,,,,,
2016,9,District of Columbia,,,0.61,0.61,61,0.55,,,0,,0,,,,,
2014,9,District of Columbia,,,0.36,0.35,35,0.32,,,0,,0,,,,,
2012,9,District of Columbia,,,0.62,0.62,62,0.56,,,0,,0,,,,,
2010,9,District of Columbia,,,0.3,0.29,29,0.26,,,0,,0,,,,,
2008,9,District of Columbia,,,0.62,0.62,62,0.55,,,0,,0,,,,,
2006,9,District of Columbia,,,0.29,0.28,28,0.26,,,0,,0,,,,,
2004,9,District of Columbia,,,0.55,0.54,54,0.49,,,0,,0,,,,,
2002,9,District of Columbia,,,,0.3,30,0.27,,,0,,0,,,,,
2000,9,District of Columbia,,,,0.48,48,0.44,,,0,,0,,,,,
1998,9,District of Columbia,,,0.35,0.34,34,0.3,,,0,,0,,,,,
1996,9,District of Columbia,,,0.47,0.47,47,0.41,,,0,,0,,,,,
1994,9,District of Columbia,,,0.45,0.45,45,0.4,,,0,,0,,,,,
1992,9,District of Columbia,,,0.54,0.53,53,0.48,,,0,,0,,,,,
1990,9,District of Columbia,,,0.39,0.38,38,0.35,,,0,,0,,,,,
1988,9,District of Columbia,,,0.44,0.43,43,0.38,,,0,,0,,,,,
1986,9,District of Columbia,,,0.29,0.28,28,0.26,,,0,,0,,,,,
1984,9,District of Columbia,,,0.47,0.45,45,0.42,,,0,,0,,,,,
1982,9,District of Columbia,,,,0.25,25,0.24,,,0,,0,,,,,
1980,9,District of Columbia,,,0.38,0.37,37,0.35,,,0,,0,,,,,
2016,10,Florida,,,0.66,0.65,65,0.57,,,0,,0,,,,,
2014,10,Florida,,,0.43,0.43,43,0.38,,,0,,0,,,,,
2012,10,Florida,,,0.63,0.63,63,0.55,,,0,,0,,,,,
2010,10,Florida,,,0.42,0.42,42,0.36,,,0,,0,,,,,
2008,10,Florida,,,0.67,0.66,66,0.58,,,0,,0,,,,,
2006,10,Florida,,,0.4,0.4,40,0.34,,,0,,0,,,,,
2004,10,Florida,,,0.65,0.64,64,0.56,,,0,,0,,,,,
2002,10,Florida,,,0.46,0.46,46,0.4,,,0,,0,,,,,
2000,10,Florida,,,0.58,0.56,56,0.48,,,0,,0,,,,,
1998,10,Florida,,,0.38,0.37,37,0.33,,,0,,0,,,,,
1996,10,Florida,,,0.53,0.52,52,0.46,,,0,,0,,,,,
1994,10,Florida,,,0.44,0.43,43,0.38,,,0,,0,,,,,
1992,10,Florida,,,0.57,0.56,56,0.5,,,0,,0,,,,,
1990,10,Florida,,,,0.39,39,0.35,,,0,,0,,,,,
1988,10,Florida,,,,0.49,49,0.45,,,0,,0,,,,,
1986,10,Florida,,,,0.41,41,0.38,,,0,,0,,,,,
1984,10,Florida,,,,0.52,52,0.48,,,0,,0,,,,,
1982,10,Florida,,,,0.36,36,0.33,,,0,,0,,,,,
1980,10,Florida,,,,0.52,52,0.49,,,0,,0,,,,,
2016,11,Georgia,,,0.6,0.59,59,0.53,35.3,0.402596274,40.2596274,0.51183522,51.183522,"4,958,482.00","9,687,653.00","5,787,440.00","2,950,435.00","3,900,213.00"
2014,11,Georgia,,,0.39,0.38,38,0.34,35.3,0.402596274,40.2596274,0.51183522,51.183522,"4,958,482.00","9,687,653.00","5,787,440.00","2,950,435.00","3,900,213.00"
2012,11,Georgia,,,0.59,0.59,59,0.52,35.3,0.402596274,40.2596274,0.51183522,51.183522,"4,958,482.00","9,687,653.00","5,787,440.00","2,950,435.00","3,900,213.00"
2010,11,Georgia,,,0.41,0.4,40,0.36,35.3,0.402596274,40.2596274,0.51183522,51.183522,"4,958,482.00","9,687,653.00","5,787,440.00","2,950,435.00","3,900,213.00"
2008,11,Georgia,,,0.63,0.63,63,0.56,33.4,0.34925651,34.925651,0.508075964,50.8075964,"4,159,340.00","8,186,453.00","5,327,281.00","2,349,542.00","2,859,172.00"
2006,11,Georgia,,,0.35,0.35,35,0.31,33.4,0.34925651,34.925651,0.508075964,50.8075964,"4,159,340.00","8,186,453.00","5,327,281.00","2,349,542.00","2,859,172.00"
2004,11,Georgia,,,0.56,0.56,56,0.5,33.4,0.34925651,34.925651,0.508075964,50.8075964,"4,159,340.00","8,186,453.00","5,327,281.00","2,349,542.00","2,859,172.00"
